time,robot_x,robot_y,robot_theta,intrusion_detected,num_intruders,num_alerts,closest_dist
12.550,5.280,1.500,0.000,False,0,0,
12.600,5.295,1.500,0.000,False,0,0,
12.650,5.310,1.500,0.000,False,0,0,
12.700,5.325,1.500,0.000,False,0,0,
12.750,5.340,1.500,0.000,False,0,0,
12.800,5.355,1.500,0.000,False,0,0,
12.850,5.370,1.500,0.000,False,0,0,
12.900,5.385,1.500,0.000,False,0,0,
12.950,5.400,1.500,0.000,False,0,0,
13.000,5.415,1.500,0.000,False,0,0,
13.050,5.430,1.500,0.000,False,0,0,
13.100,5.445,1.500,0.000,False,0,0,
13.150,5.460,1.500,0.000,False,0,0,
13.200,5.475,1.500,0.000,False,0,0,
13.250,5.490,1.500,0.000,False,0,0,
13.300,5.505,1.500,0.000,False,0,0,
13.350,5.520,1.500,0.000,False,0,0,
13.400,5.535,1.500,0.000,False,0,0,
13.450,5.550,1.500,0.000,False,0,0,
13.500,5.565,1.500,0.000,False,0,0,
13.550,5.580,1.500,0.000,False,0,0,
13.600,5.595,1.500,0.000,False,0,0,
13.650,5.610,1.500,0.000,False,0,0,
13.700,5.625,1.500,0.000,False,0,0,
13.750,5.640,1.500,0.000,False,0,0,
13.800,5.655,1.500,0.000,False,0,0,
13.850,5.670,1.500,0.000,False,0,0,
13.900,5.685,1.500,0.000,False,0,0,
13.950,5.700,1.500,0.000,False,0,0,
14.000,5.715,1.500,0.000,False,0,0,
14.050,5.730,1.500,0.000,False,0,0,
14.100,5.745,1.500,0.000,False,0,0,
14.150,5.760,1.500,0.000,False,0,0,
14.200,5.775,1.500,0.000,False,0,0,
14.250,5.790,1.500,0.000,False,0,0,
14.300,5.805,1.500,0.000,False,0,0,
14.350,5.820,1.500,0.000,False,0,0,
14.400,5.835,1.500,0.000,False,0,0,
14.450,5.850,1.500,0.000,False,0,0,
14.500,5.865,1.500,0.000,False,0,0,
14.550,5.880,1.500,0.000,False,0,0,
14.600,5.895,1.500,0.000,False,0,0,
14.650,5.910,1.500,0.000,False,0,0,
14.700,5.925,1.500,0.000,False,0,0,
14.750,5.940,1.500,0.000,False,0,0,
14.800,5.955,1.500,0.000,False,0,0,
14.850,5.970,1.500,0.000,False,0,0,
14.900,5.985,1.500,0.000,False,0,0,
14.950,6.000,1.500,0.000,False,0,0,
15.000,6.015,1.500,0.000,False,0,0,
